	transcript_name	classification_level	full_classification	classification	max_pid	ambiguous
0	HJHEFEJI_00337	class	Archaeplastida; Glaucophyta; Glaucocystophyceae; Glaucocystophytes	Glaucocystophytes	141.4	0
0	HJHEFEJI_00338	division	Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	119.4	0
0	HJHEFEJI_00339	division	Archaeplastida; Chlorophyta	Chlorophyta	149.1	1
0	HJHEFEJI_00340	class	Hacrobia; Cryptophyta; Cryptophyceae; Cryptomonadales	Cryptomonadales	73.9	0
0	HJHEFEJI_00341	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	543.9	0
0	HJHEFEJI_00343	family	Archaeplastida; Chlorophyta; Palmophyllophyceae; Prasinococcales; Prasinococcales-Clade-A; Prasinococcus	Prasinococcus	189.9	0
0	HJHEFEJI_00345	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	491.5	0
0	HJHEFEJI_00346	class	Archaeplastida; Chlorophyta; Chlorodendrophyceae; Chlorodendrales	Chlorodendrales	103.6	0
0	HJHEFEJI_00352	order	Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae	Suessiaceae	152.5	0
0	HJHEFEJI_00355	genus	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Araphid-pennate; Asterionellopsis; Asterionellopsis glacialis	Asterionellopsis glacialis	121.7	0
0	HJHEFEJI_00357	genus	Archaeplastida; Chlorophyta; Pyramimonadales; Pyramimonadales_X; Pyramimonadales_XX; Pyramimonas; Pyramimonas obovata	Pyramimonas obovata	862.4	0
0	HJHEFEJI_00360	class	Rhizaria; Cercozoa; Chlorarachniophyceae; Chlorarachnida	Chlorarachnida	188.0	0
0	HJHEFEJI_00361	class	Alveolata; Ciliophora; Ciliophora_X; Ciliophora_XX	Ciliophora_XX	313.5	0
0	HJHEFEJI_00362	class	Archaeplastida; Chlorophyta; Chlorodendrophyceae; Chlorodendrales	Chlorodendrales	150.2	0
0	HJHEFEJI_00363	division	Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	85.5	0
0	HJHEFEJI_00365	class	Alveolata; Ciliophora; Colpodea; Colpodea_X	Colpodea_X	147.5	0
0	HJHEFEJI_00366	order	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Polar-centric-Mediophyceae	Polar-centric-Mediophyceae	268.5	0
0	HJHEFEJI_00367	order	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X; Raphidophyceae_XX	Raphidophyceae_XX	132.5	0
0	HJHEFEJI_00370	class	Alveolata; Apicomplexa; Colpodellidea; Vitrelladida	Vitrelladida	67.4	0
0	HJHEFEJI_00380	order	Hacrobia; Haptophyta; Prymnesiophyceae; Isochrysidales; Isochrysidaceae	Isochrysidaceae	200.7	0
0	HJHEFEJI_00381	class	Stramenopiles; Ochrophyta; Dictyochophyceae; Dictyochophyceae_X	Dictyochophyceae_X	74.3	0
0	HJHEFEJI_00382	class	Archaeplastida; Chlorophyta; Pyramimonadales; Pyramimonadales_X	Pyramimonadales_X	311.2	0
0	HJHEFEJI_00385	class	Archaeplastida; Chlorophyta; Mamiellophyceae; Dolichomastigales	Dolichomastigales	110.2	0
0	HJHEFEJI_00386	order	Stramenopiles; Ochrophyta; Dictyochophyceae; Dictyochophyceae_X; Pedinellales	Pedinellales	125.6	0
0	HJHEFEJI_00389	division	Stramenopiles; Sagenista; Labyrinthulomycetes	Labyrinthulomycetes	129.4	0
0	HJHEFEJI_00390	class	Alveolata; Ciliophora; Ciliophora_X; Ciliophora_XX	Ciliophora_XX	189.1	0
0	HJHEFEJI_00391	class	Archaeplastida; Chlorophyta; Mamiellophyceae; Mamiellales	Mamiellales	196.4	0
0	HJHEFEJI_00392	division	Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	166.0	0
0	HJHEFEJI_00393	class	Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales	Gymnodiniales	125.6	0
0	HJHEFEJI_00395	order	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Polar-centric-Mediophyceae	Polar-centric-Mediophyceae	206.8	0
0	HJHEFEJI_00399	class	Archaeplastida; Rhodophyta; Compsopogonophyceae; Erythropeltidales	Erythropeltidales	172.9	0
0	HJHEFEJI_00402	order	Excavata; Discoba; Euglenozoa; Euglenida; Eutreptiales	Eutreptiales	105.1	0
0	HJHEFEJI_00403	class	Archaeplastida; Chlorophyta; Pyramimonadales; Pyramimonadales_X	Pyramimonadales_X	410.2	0
0	HJHEFEJI_00405	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	251.5	0
0	HJHEFEJI_00406	class	Archaeplastida; Chlorophyta; Picocystophyceae; Picocystales	Picocystales	112.8	0
0	HJHEFEJI_00407	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	73.2	0
0	HJHEFEJI_00408	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	201.1	0
0	HJHEFEJI_00409	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	425.6	0
0	HJHEFEJI_00410	order	Stramenopiles; Ochrophyta; Dictyochophyceae; Dictyochophyceae_X; Pedinellales	Pedinellales	77.8	0
0	HJHEFEJI_00411	class	Archaeplastida; Chlorophyta; Pyramimonadales; Pyramimonadales_X	Pyramimonadales_X	71.2	0
0	HJHEFEJI_00414	class	Stramenopiles; Ochrophyta; Chrysophyceae; Chrysophyceae_X	Chrysophyceae_X	154.1	0
0	HJHEFEJI_00416	class	Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorophyta_XX	Chlorophyta_XX	293.9	0
0	HJHEFEJI_00417	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	190.3	0
0	HJHEFEJI_00418	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	260.0	0
0	HJHEFEJI_00419	class	Hacrobia; Haptophyta; Prymnesiophyceae; Prymnesiales	Prymnesiales	232.3	0
0	HJHEFEJI_00421	class	Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales	Gymnodiniales	221.9	0
0	HJHEFEJI_00422	division	Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	91.3	0
0	HJHEFEJI_00423	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	161.4	0
0	HJHEFEJI_00424	class	Hacrobia; Cryptophyta; Cryptophyceae; Cryptophyceae_XXX	Cryptophyceae_XXX	153.7	0
0	HJHEFEJI_00425	class	Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales	Gymnodiniales	67.0	0
0	HJHEFEJI_00427	class	Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales	Gymnodiniales	214.5	0
0	HJHEFEJI_00432	class	Archaeplastida; Chlorophyta; Palmophyllophyceae; Prasinococcales	Prasinococcales	107.1	0
0	HJHEFEJI_00435	class	Amoebozoa; Lobosa; Discosea-Flabellinia; Vannellida	Vannellida	531.2	0
0	HJHEFEJI_00440	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	261.2	0
0	HJHEFEJI_00443	class	Alveolata; Ciliophora; Prostomatea_1; Prostomatea_1_X	Prostomatea_1_X	208.4	0
0	HJHEFEJI_00444	order	Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Kryptoperidiniaceae	Kryptoperidiniaceae	162.2	0
0	HJHEFEJI_00445	order	Stramenopiles; Ochrophyta; Dictyochophyceae; Dictyochophyceae_X; Dictyochophyceae_XX	Dictyochophyceae_XX	260.8	0
0	HJHEFEJI_00451	class	Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales	Chlamydomonadales	89.7	0
0	HJHEFEJI_00452	class	Archaeplastida; Chlorophyta; Pyramimonadales; Pyramimonadales_X	Pyramimonadales_X	193.7	0
0	HJHEFEJI_00453	family	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Polar-centric-Mediophyceae; Chaetoceros	Chaetoceros	102.8	0
0	HJHEFEJI_00456	class	Stramenopiles; Ochrophyta; Chrysophyceae; Chrysophyceae_X	Chrysophyceae_X	74.3	0
0	HJHEFEJI_00459	order	Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Goniodomataceae	Goniodomataceae	199.1	0
0	HJHEFEJI_00470	class	Stramenopiles; Sagenista; Labyrinthulomycetes; Labyrinthulales	Labyrinthulales	160.2	0
0	HJHEFEJI_00471	class	Rhizaria; Cercozoa; Chlorarachniophyceae; Chlorarachnida	Chlorarachnida	189.5	0
0	HJHEFEJI_00472	class	Alveolata; Ciliophora; Litostomatea; Haptoria_5	Haptoria_5	69.3	0
0	HJHEFEJI_00473	order	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X; Raphidophyceae_XX	Raphidophyceae_XX	135.2	0
0	HJHEFEJI_00474	class	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X	Raphidophyceae_X	162.2	0
0	HJHEFEJI_00483	class	Amoebozoa; Conosa; Variosea; Variosea_X	Variosea_X	153.3	0
0	HJHEFEJI_00487	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	135.2	0
0	HJHEFEJI_00491	supergroup	Alveolata	Alveolata	155.2	1
0	HJHEFEJI_00492	class	Opisthokonta; Choanoflagellida; Choanoflagellatea; Acanthoecida	Acanthoecida	117.5	0
0	HJHEFEJI_00495	class	Archaeplastida; Chlorophyta; Mamiellophyceae; Dolichomastigales	Dolichomastigales	91.7	0
0	HJHEFEJI_00497	class	Alveolata; Ciliophora; Ciliophora_X; Ciliophora_XX	Ciliophora_XX	108.6	0
0	HJHEFEJI_00498	class	Hacrobia; Haptophyta; Pavlovophyceae; Pavlovales	Pavlovales	60.1	0
0	HJHEFEJI_00502	family	Archaeplastida; Chlorophyta; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Tetraselmis	Tetraselmis	190.7	0
0	HJHEFEJI_00516	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	134.4	0
0	HJHEFEJI_00519	order	Stramenopiles; Ochrophyta; Dictyochophyceae; Dictyochophyceae_X; Dictyochales	Dictyochales	63.9	0
0	HJHEFEJI_00521	order	Hacrobia; Cryptophyta; Cryptophyceae; Goniomonadales; Goniomonadales_X	Goniomonadales_X	70.1	0
0	HJHEFEJI_00525	division	Alveolata; Ciliophora; Ciliophora_X	Ciliophora_X	60.1	0
0	HJHEFEJI_00529	class	Archaeplastida; Chlorophyta; Chloropicophyceae; Chloropicales	Chloropicales	137.9	0
0	HJHEFEJI_00530	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	266.5	0
0	HJHEFEJI_00534	division	Amoebozoa; Lobosa; Discosea-Flabellinia	Discosea-Flabellinia	86.7	0
0	HJHEFEJI_00535				132.5	1
0	HJHEFEJI_00536	class	Hacrobia; Cryptophyta; Cryptophyceae; Cryptomonadales	Cryptomonadales	177.2	0
0	HJHEFEJI_00546	class	Hacrobia; Cryptophyta; Cryptophyceae; Cryptophyceae_XXX	Cryptophyceae_XXX	79.7	0
0	HJHEFEJI_00547	class	Hacrobia; Cryptophyta; Cryptophyceae; Cryptophyceae_XXX	Cryptophyceae_XXX	136.3	0
0	HJHEFEJI_00548	class	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X	Raphidophyceae_X	131.7	0
